"title","title_type","directors","imdb_rating","runtime","year","genres","num_votes","rel_date","url","id","title_rt","year_rt","genre_rt","mpaa_rating","runtime_rt","critics_rating","critics_score","audience_rating","audience_score","actor1","actor2","actor3","actor4","actor5","director_rt","studio","link"
"Mark Twain","Documentary","Ken Burns",8.3,212,"2001","documentary, biography",487,"2001-11-10","http://www.imdb.com/title/tt0306355/","0306355","Mark Twain",2012,"Documentary","Unrated","212",NA,-1,NA,100,"Keith David","Kevin Conway","Philip Bosco","Blythe Danner","Carolyn McCormick","Ken Burns",NA,"http://www.rottentomatoes.com/m/mark_twain/"
"Little Monsters","Feature Film","Richard Alan Greenberg",6,100,"1989","comedy, adventure, family, fantasy",6883,"1989-08-25","http://www.imdb.com/title/tt0097758/","0097758","Little Monsters",1989,"Kids & Family","PG","100",NA,-1,"Upright",62,"Fred Savage","Howie Mandel","Daniel Stern","Margaret Whitton","Rick Ducommun","Richard Alan Greenberg","MGM Home Entertainment","http://www.rottentomatoes.com/m/little_monsters/"
"Essex Boys","Feature Film","Terry Winsor",6.1,102,"2000","crime, thriller",2798,"2000-07-14","http://www.imdb.com/title/tt0191996/","0191996","Essex Boys",2000,"Drama","R","102","Rotten",17,"Upright",62,"Sean Bean","Alex Kingston","Charlie Creed-Miles","Tom Wilkinson","Larry Lamb","Terry Winsor","Miramax","http://www.rottentomatoes.com/m/essex_boys/"
"Dragon Ball Z: The World's Strongest","Feature Film","Chad Bowers, Daisuke Nishio",7,59,"1990","animation, action, adventure, sci_fi, thriller",2609,"1990-03-10","http://www.imdb.com/title/tt0142240/","0142240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Sculptress","Mini-Series","",7.4,180,"1996","crime, drama, mystery, thriller",257,"1996-02-24","http://www.imdb.com/title/tt0117574/","0117574","The Sculptress",1997,"Drama","Unrated","180",NA,-1,"Upright",78,"Andrew Tiernan","Caroline Goodall","Christopher Fulford","Colin Salmon","David Horovitch","Stuart Orme",NA,"http://www.rottentomatoes.com/m/sculptress/"
"The Hottie & the Nottie","Feature Film","Tom Putnam",1.9,91,"2008","comedy, romance",31941,"2008-02-08","http://www.imdb.com/title/tt0804492/","0804492","The Hottie and the Nottie",2008,"Comedy","PG-13","91","Rotten",4,"Spilled",31,"Paris Hilton","Joel David Moore","Christine Lakin","Adam Kulbersh","Greg Wilson","Tom Putnam","Regent Releasing","http://www.rottentomatoes.com/m/hottie_and_the_nottie/"
"Crush","Feature Film","Malik Bader",5.7,94,"2013","thriller",2889,"2013-03-13","http://www.imdb.com/title/tt2093977/","2093977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warriors","TV Movie","Peter Kosminsky",8.1,175,"1999","drama, war",1973,"1999-11-29","http://www.imdb.com/title/tt0119873/","0119873","Warriors (Peacekeepers)",1999,"Drama","PG","127",NA,-1,"Upright",97,"Matthew MacFadyen","Cal Macaninch","Damian Lewis","Shaun Dooley","Tom Ward","Peter Kosminsky",NA,"http://www.rottentomatoes.com/m/warriors-peacekeepers/"
"Pay It Forward","Feature Film","Mimi Leder",7.1,123,"2000","drama",87565,"2000-10-12","http://www.imdb.com/title/tt0223897/","0223897","Pay It Forward",2000,"Drama","PG-13","123","Rotten",40,"Upright",77,"Kevin Spacey","Helen Hunt","Haley Joel Osment","Jay Mohr","Jim Caviezel","Mimi Leder","Warner Bros. Pictures","http://www.rottentomatoes.com/m/pay_it_forward/"
"The Amityville Horror","Feature Film","Stuart Rosenberg",6.2,117,"1979","drama, horror",24918,"1979-07-27","http://www.imdb.com/title/tt0078767/","0078767","The Amityville Horror",1979,"Horror","R","117","Rotten",24,"Spilled",53,"James Brolin","Margot Kidder","Rod Steiger","Don Stroud","Natasha Ryan","Stuart Rosenberg","American International Picture","http://www.rottentomatoes.com/m/1000875-amityville_horror/"
"Neighbors","Feature Film","John G. Avildsen",5.5,94,"1981","comedy",5458,"1981-12-18","http://www.imdb.com/title/tt0082801/","0082801","Neighbors",1981,"Comedy","R","95","Fresh",71,"Spilled",51,"John Belushi","Dan Aykroyd","Cathy Moriarty","Kathryn Walker","Igors Gavon","John G. Avildsen","Sony Pictures Entertainment","http://www.rottentomatoes.com/m/1014804-neighbors/"
"Lucky Number Slevin","Feature Film","Paul McGuigan",7.8,110,"2006","crime, drama, mystery, thriller",239230,"2006-02-24","http://www.imdb.com/title/tt0425210/","0425210","The Bruce Movie",2006,"Documentary","Unrated","",NA,-1,"Upright",60,"Bruce Irons",NA,NA,NA,NA,"Ryan Thomas",NA,"http://www.rottentomatoes.com/m/the-bruce-movie/"
"Max Keeble's Big Move","Feature Film","Tim Hill",5.3,86,"2001","comedy, crime, family",5233,"2001-10-05","http://www.imdb.com/title/tt0273799/","0273799","Max Keeble's Big Move",2001,"Comedy","PG","86","Rotten",29,"Spilled",38,"Alex D. Linz","Larry Miller","Jamie Kennedy","Zena Grey","Josh Peck","Tim Hill (III)","Buena Vista Pictures","http://www.rottentomatoes.com/m/max_keebles_big_move/"
