"vote","team"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Other / Don't remember","Duke"
"Other / Don't remember","Duke"
"Other / Don't remember","Duke"
"Other / Don't remember","Duke"
"Other / Don't remember","Duke"
"Other / Don't remember","Duke"
"Other / Don't remember","Duke"
"Other / Don't remember","UNC"
"Other / Don't remember","UNC"
"Other / Don't remember","UNC"
"Other / Don't remember","UNC"
"Other / Don't remember","UNC"
"Other / Don't remember","UNC"
"Other / Don't remember","UNC"
"Other / Don't remember","UNC"
"Other / Don't remember","NC State"
"Other / Don't remember","NC State"
"Other / Don't remember","NC State"
"Other / Don't remember","NC State"
"Other / Don't remember","NC State"
"Other / Don't remember","NC State"
"Other / Don't remember","NC State"
"Other / Don't remember","NC State"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
"Other / Don't remember","Other / no favourite"
